gene	ensembl_id	chrom	start_hg38	end_hg38	start_hg19	end_hg19	strand	biotype	length_hg38	sources	n_sources	in_network	status	notes
AFG3L2	ENSG00000141385	18	12328871	12377473	12328943	12377313	-1	protein_coding	48602	baxter	1		ok	
AHCY	ENSG00000101444	20	34280263	34311802	32868074	32899608	-1	protein_coding	31539	baxter	1		ok	
AHR	ENSG00000106546	7	16916359	17346152	17338246	17385776	1	protein_coding	429793	network	1	yes	ok	
AKT1	ENSG00000142208	14	104769348	104799934	105235686	105262088	-1	protein_coding	30586	network	1	yes	ok	
ALCAM	ENSG00000170017	3	105366691	105576909	105085753	105295744	1	protein_coding	210218	baxter	1		ok	
ALDH2	ENSG00000111275	12	111766887	111817532	112204691	112247782	1	protein_coding	50645	baxter	1		ok	
ALDOA	ENSG00000149925	16	30064164	30070457	30064411	30081778	1	protein_coding	6293	baxter	1		ok	
ALG11	ENSG00000253710	13	52011712	52079232	52586534	52603800	1	protein_coding	67520	darcy	1		ok	
ALG13	ENSG00000101901	X	111665811	111766130	110909043	111003877	1	protein_coding	100319	baxter	1		ok	
ALKBH8	ENSG00000137760	11	107502726	107565764	107373452	107436472	-1	protein_coding	63038	bajpai	1		ok	
ALX3	ENSG00000156150	1	110059870	110070677	110602616	110613322	-1	protein_coding	10807	baxter	1		ok	
AMBRA1	ENSG00000110497	11	46396414	46594242	46417964	46615675	-1	protein_coding	197828	bajpai;baxter	2		ok	
ANKRD27	ENSG00000105186	19	32597000	32676597	33087913	33167503	-1	protein_coding	79597	bajpai	1		ok	
ANXA2	ENSG00000182718	15	60347134	60402883	60639333	60695082	-1	protein_coding	55749	baxter	1		ok	
AP1G1	ENSG00000166747	16	71729000	71809201	71762913	71843104	-1	protein_coding	80201	bajpai	1		ok	
AP1M1	ENSG00000072958	19	16197854	16245906	16308389	16346160	1	protein_coding	48052	bajpai	1		ok	
AP1S1	ENSG00000106367	7	101154352	101161596	100797678	100804877	1	protein_coding	7244	baxter	1		ok	
AP3B1	ENSG00000132842	5	77991640	78294762	77296349	77590579	-1	protein_coding	303122	bajpai;baxter;darcy	3		ok	
AP3D1	ENSG00000065000	19	2100982	2164468	2100988	2164464	-1	protein_coding	63486	bajpai;baxter;darcy	3		ok	
AP3S2	ENSG00000157823	15	89830599	89894638	90373831	90437574	-1	protein_coding	64039	baxter	1		ok	
APAF1	ENSG00000120868	12	98645149	98735433	99038919	99129204	1	protein_coding	90284	network	1	yes	ok	
APC	ENSG00000134982	5	112707452	112846239	112043195	112181936	1	protein_coding	138787	baxter	1		ok	
APC2	ENSG00000115266	19	1446302	1473244	1446300	1473243	1	protein_coding	26942	darcy	1		ok	
ARCN1	ENSG00000095139	11	118572384	118603033	118443105	118473748	1	protein_coding	30649	baxter	1		ok	
ARID5B	ENSG00000150347	10	61901246	62096944	63661059	63856703	1	protein_coding	195698	darcy	1		ok	
ARL6	ENSG00000113966	3	97764521	97801229	97483365	97519953	1	protein_coding	36708	baxter	1		ok	
ARL6IP1	ENSG00000170540	16	18791609	18801572	18802991	18813000	-1	protein_coding	9963	baxter	1		ok	
ARL8B	ENSG00000134108	3	5122231	5180916	5163905	5222596	1	protein_coding	58685	bajpai	1		ok	
ARPC3	ENSG00000111229	12	110434436	110450422	110872630	110888227	-1	protein_coding	15986	bajpai	1		ok	
ARPC4	ENSG00000241553	3	9792484	9807704	9834179	9849410	1	protein_coding	15220	bajpai	1		ok	
ARPC4-TTLL3	ENSG00000250151	3	9793082	9835401	9834766	9877085	1	protein_coding	42319	bajpai	1		ok	
ASCC2	ENSG00000100325	22	29788044	29838304	30184597	30234271	-1	protein_coding	50260	bajpai	1		ok	
ASCC3	ENSG00000112249	6	100508194	100881412	100956070	101329248	-1	protein_coding	373218	bajpai	1		ok	
ASIP	ENSG00000101440	20	34194569	34269346	32782375	32857150	1	protein_coding	74777	baxter	1		ok	
ATE1	ENSG00000107669	10	121709393	121928801	123499939	123688316	-1	protein_coding	219408	baxter	1		ok	
ATF2	ENSG00000115966	2	175072250	175168382	175936978	176033110	-1	protein_coding	96132	network	1	yes	ok	
ATG7	ENSG00000197548	3	11272309	11557665	11313995	11599139	1	protein_coding	285356	baxter	1		ok	
ATM	ENSG00000149311	11	108222788	108369102	108093211	108239829	1	protein_coding	146314	baxter;darcy	2		ok	
ATOH7	ENSG00000179774	10	68230595	68232113	69990386	69991871	-1	protein_coding	1518	baxter	1		ok	
ATOX1	ENSG00000177556	5	151728919	151772532	151121877	151152093	-1	protein_coding	43613	baxter	1		ok	
ATP1A1	ENSG00000163399	1	116372668	116410261	116915290	116952883	1	protein_coding	37593	baxter	1		ok	
ATP6AP1	ENSG00000071553	X	154428618	154436517	153656978	153664862	1	protein_coding	7899	baxter	1		ok	
ATP6AP2	ENSG00000182220	X	40579372	40607713	40440146	40465889	1	protein_coding	28341	baxter	1		ok	
ATP6V0A2	ENSG00000185344	12	123712334	123761760	124196865	124246302	1	protein_coding	49426	bajpai	1		ok	
ATP6V0B	ENSG00000117410	1	43974487	43978299	44440159	44443967	1	protein_coding	3812	baxter	1		ok	
ATP6V0C	ENSG00000185883	16	2513713	2520218	2563871	2570219	1	protein_coding	6505	baxter	1		ok	
ATP6V0D1	ENSG00000159720	16	67437523	67481227	67471917	67515140	-1	protein_coding	43704	baxter	1		ok	
ATP6V1E1 / ATP6V1E2										baxter	1		unresolved	not on a primary assembly / symbol unresolved
ATP6V1F	ENSG00000128524	7	128862816	128865849	128502880	128505898	1	protein_coding	3033	baxter	1		ok	
ATP6V1H	ENSG00000047249	8	53715543	53843558	54628117	54756118	-1	protein_coding	128015	baxter	1		ok	
ATP7A	ENSG00000165240	X	77910688	78050395	77166194	77305892	1	protein_coding	139707	baxter;darcy	2		ok	
ATP7B	ENSG00000123191	13	51930436	52012198	52506809	52585630	-1	protein_coding	81762	baxter;darcy	2		ok	
ATR	ENSG00000175054	3	142449007	142578868	142168077	142297668	-1	protein_coding	129861	baxter	1		ok	
ATRN	ENSG00000088812	20	3470965	3651118	3451687	3631769	1	protein_coding	180153	baxter	1		ok	
ATXN2	ENSG00000204842	12	111443485	111599676	111890018	112037480	-1	protein_coding	156191	darcy	1		ok	
B4GALT1	ENSG00000086062	9	33100493	33167399	33104080	33167354	-1	protein_coding	66906	bajpai	1		ok	
BACE2	ENSG00000182240	21	41167775	41282530	42539728	42654445	1	protein_coding	114755	bajpai;baxter	2		ok	
BACH2	ENSG00000112182	6	89926528	90296982	90636248	91006627	-1	protein_coding	370454	darcy	1		ok	
BAD	ENSG00000002330	11	64269828	64291946	64037302	64052176	-1	protein_coding	22118	network	1	yes	ok	
BAK1	ENSG00000030110	6	33568791	33580305	33540329	33548019	-1	protein_coding	11514	network	1	yes	ok	
BAMBI	ENSG00000095739	10	28677510	28684890	28966271	28971868	1	protein_coding	7380	bajpai	1		ok	
BARX2	ENSG00000043039	11	129375761	129452279	129245835	129322171	1	protein_coding	76518	baxter	1		ok	
BAX	ENSG00000087088	19	48954815	48961806	49458072	49465055	1	protein_coding	6991	network	1	yes	ok	
BBC3	ENSG00000105327	19	47220822	47233019	47724081	47736023	-1	protein_coding	12197	network	1	yes	ok	
BBIP1	ENSG00000214413	10	110898730	110919371	112658488	112679032	-1	protein_coding	20641	baxter	1		ok	
BBS1	ENSG00000174483	11	66510606	66534660	66278077	66301098	1	protein_coding	24054	baxter	1		ok	
BBS2	ENSG00000125124	16	56465640	56582667	56500748	56554195	-1	protein_coding	117027	baxter	1		ok	
BBS4	ENSG00000140463	15	72686181	72742006	72978527	73030817	1	protein_coding	55825	baxter	1		ok	
BBS7	ENSG00000138686	4	121824329	121870502	122745595	122791652	-1	protein_coding	46173	baxter	1		ok	
BCL2	ENSG00000171791	18	63123346	63320215	60790579	60987361	-1	protein_coding	196869	baxter;network	2	yes	ok	
BCL2L1	ENSG00000171552	20	31664452	31723989	30252255	30311792	-1	protein_coding	59537	network	1	yes	ok	
BCL2L11	ENSG00000153094	2	111119378	111168444	111876955	111926024	1	protein_coding	49066	baxter;darcy	2		ok	
BCL2L12	ENSG00000126453	19	49664622	49673917	50168823	50177173	1	protein_coding	9295	darcy	1		ok	
BID	ENSG00000015475	22	17734138	17774770	18216906	18257536	-1	protein_coding	40632	network	1	yes	ok	
BIVM	ENSG00000134897	13	102799101	102841748	103451399	103493885	1	protein_coding	42647	darcy	1		ok	
BLM	ENSG00000197299	15	90717340	90816166	91260558	91358859	1	protein_coding	98826	baxter;darcy	2		ok	
BLOC1S2	ENSG00000196072	10	100272797	100286708	102033713	102046469	-1	protein_coding	13911	bajpai	1		ok	
BLOC1S3	ENSG00000189114	19	45152811	45216933	45682003	45685059	1	protein_coding	64122	bajpai;baxter;darcy	3		ok	
BLOC1S4	ENSG00000186222	4	6716174	6717664	6717842	6719387	1	protein_coding	1490	baxter	1		ok	
BLOC1S5	ENSG00000188428	6	8012317	8064419	8013800	8064647	-1	protein_coding	52102	bajpai;baxter;darcy	3		ok	
BLOC1S5-TXNDC5	ENSG00000259040	6	7881522	8064364	7881755	8064597	-1	protein_coding	182842	bajpai	1		ok	
BLOC1S6	ENSG00000104164	15	45587108	45615945	45879321	45908197	1	protein_coding	28837	bajpai;baxter;darcy	3		ok	
BMP5	ENSG00000112175	6	55753619	55875601	55618443	55740362	-1	protein_coding	121982	baxter	1		ok	
BMPR2	ENSG00000204217	2	202375835	202567751	203241659	203432474	1	protein_coding	191916	baxter	1		ok	
BNC2	ENSG00000173068	9	16409503	16871942	16409501	16870841	-1	protein_coding	462439	bajpai;baxter;darcy	3		ok	
BRAF	ENSG00000157764	7	140719327	140925199	140419127	140624564	-1	protein_coding	205872	baxter;darcy	2		ok	
BRCA1	ENSG00000012048	17	43044292	43170245	41196312	41277500	-1	protein_coding	125953	baxter	1		ok	
BRCA2	ENSG00000139618	13	32315086	32400268	32889611	32973805	1	protein_coding	85182	baxter;darcy	2		ok	
BRIP1	ENSG00000136492	17	61679139	61863561	59758627	59940882	-1	protein_coding	184422	baxter;darcy	2		ok	
BTD	ENSG00000169814	3	15601341	15722522	15642848	15687329	1	protein_coding	121181	baxter	1		ok	
BTNL2	ENSG00000204290	6	32391481	32407181	32361740	32374905	-1	protein_coding	15700	darcy	1		ok	
C10ORF11	ENSG00000148655	10			77360998	78319925	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
C11ORF30	ENSG00000158636	11			76155967	76264069	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
C11ORF65	ENSG00000166323	11	108308519	108467536	108179246	108338258	-1	protein_coding	159017	darcy	1		ok	
C16ORF62	ENSG00000103544	16			19566562	19718115	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
C16ORF80	ENSG00000070761	16			58147496	58163354	-1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
C1ORF141	ENSG00000203963	1	67092005	67231853	67557848	67697536	-1	protein_coding	139848	darcy	1		ok	
C1QTNF6	ENSG00000133466	22	37180166	37199385	37576207	37595425	-1	protein_coding	19219	darcy	1		ok	
C3ORF38	ENSG00000179021	3	88149647	88276048	88198893	88217879	1	protein_coding	126401	baxter	1		ok	
C8ORF37	ENSG00000156172	8			96257147	96281429	-1	protein_coding		baxter	1		hg19_only	not on a primary assembly / symbol unresolved
C9ORF91	ENSG00000157693	9			117373486	117408702	1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
CALM1	ENSG00000198668	14	90396502	90408268	90862846	90874605	1	protein_coding	11766	network	1	yes	ok	
CANX	ENSG00000127022	5	179678615	179731653	179105629	179157926	1	protein_coding	53038	bajpai	1		ok	
CARS	ENSG00000110619	11			3022152	3078843	-1	protein_coding		baxter	1		hg19_only	not on a primary assembly / symbol unresolved
CASP3	ENSG00000164305	4	184627695	184650418	185548850	185570663	-1	protein_coding	22723	network	1	yes	ok	
CASP7	ENSG00000165806	10	113679158	113731668	115438942	115490662	1	protein_coding	52510	darcy	1		ok	
CASP8	ENSG00000064012	2	201233443	201361836	202098166	202152434	1	protein_coding	128393	network	1	yes	ok	
CASP9	ENSG00000132906	1	15489724	15526534	15817327	15853029	-1	protein_coding	36810	network	1	yes	ok	
CAV1	ENSG00000105974	7	116524985	116561179	116164839	116201233	1	protein_coding	36194	baxter	1		ok	
CBFA2T3	ENSG00000129993	16	88874858	88977207	88941266	89043612	-1	protein_coding	102349	darcy	1		ok	
CBL	ENSG00000110395	11	119206036	119313926	119076752	119178859	1	protein_coding	107890	baxter	1		ok	
CBS	ENSG00000160200	21	43050900	43076943	44473301	44497053	-1	protein_coding	26043	baxter;darcy	2		ok	
CCDC22	ENSG00000101997	X	49235444	49250526	49091927	49106987	1	protein_coding	15082	bajpai	1		ok	
CCDC28B	ENSG00000160050	1	32200383	32205453	32665987	32670988	1	protein_coding	5070	baxter	1		ok	
CCDC53	ENSG00000120860	12			102406705	102455927	-1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
CCDC93	ENSG00000125633	2	117915478	118014192	118673054	118771709	-1	protein_coding	98714	bajpai	1		ok	
CCND1	ENSG00000110092	11	69641070	69654474	69455855	69469242	1	protein_coding	13404	network	1	yes	ok	
CCNK	ENSG00000090061	14	99481169	99535044	99947506	100001381	1	protein_coding	53875	bajpai	1		ok	
CCR6	ENSG00000112486	6	167111790	167139141	167525295	167553184	1	protein_coding	27351	darcy	1		ok	
CCT2	ENSG00000166226	12	69585423	69601580	69979114	69995350	1	protein_coding	16157	baxter	1		ok	
CCZ1B	ENSG00000146574	7	6794134	6826770	6833765	6866401	-1	protein_coding	32636	bajpai	1		ok	
CD72	ENSG00000137101	9	35609965	35646810	35609530	35646807	-1	protein_coding	36845	bajpai	1		ok	
CD80	ENSG00000121594	3	119523073	119580616	119243140	119278449	-1	protein_coding	57543	darcy	1		ok	
CDC25A / CDC25B										baxter	1		unresolved	not on a primary assembly / symbol unresolved
CDC42	ENSG00000070831	1	22052627	22101360	22379120	22419437	1	protein_coding	48733	baxter;network	2	yes	ok	
CDC73	ENSG00000134371	1	193115732	193264613	193091147	193223031	1	protein_coding	148881	baxter	1		ok	
CDH11	ENSG00000140937	16	64943753	65126112	64977656	65160015	-1	protein_coding	182359	baxter	1		ok	
CDH2	ENSG00000170558	18	27932879	28178024	25530930	25757410	-1	protein_coding	245145	baxter;network	2	yes	ok	
CDH23	ENSG00000107736	10	71396884	71815947	73156691	73575702	1	protein_coding	419063	darcy	1		ok	
CDH3	ENSG00000062038	16	68636189	68727468	68670092	68756519	1	protein_coding	91279	baxter;darcy	2		ok	
CDK12	ENSG00000167258	17	39461437	39567559	37617764	37721160	1	protein_coding	106122	bajpai	1		ok	
CDK2	ENSG00000123374	12	55966781	55972789	56360553	56366568	1	protein_coding	6008	network	1	yes	ok	
CDK4	ENSG00000135446	12	57746043	57756013	58141510	58149796	-1	protein_coding	9970	network	1	yes	ok	
CDK5	ENSG00000164885	7	151051517	151057952	150750899	150755617	-1	protein_coding	6435	baxter	1		ok	
CDK7	ENSG00000134058	5	69234550	69277495	68530668	68573250	1	protein_coding	42945	baxter	1		ok	
CDKN1A	ENSG00000124762	6	36676441	36688042	36644305	36655116	1	protein_coding	11601	network	1	yes	ok	
CDKN2A	ENSG00000147889	9	21966924	21995301	21967751	21995300	-1	protein_coding	28377	bajpai;baxter;darcy	3		ok	
CDX1	ENSG00000113722	5	150166772	150186162	149546358	149564120	1	protein_coding	19390	baxter	1		ok	
CEP131	ENSG00000141577	17	81189583	81223014			-1	protein_coding	33431	baxter	1		hg38_only	not on a primary assembly / symbol unresolved
CEP290	ENSG00000198707	12	88049016	88142099	88442793	88535993	-1	protein_coding	93083	baxter	1		ok	
CEP57	ENSG00000166037	11	95789965	95837070	95523129	95565857	1	protein_coding	47105	darcy	1		ok	
CFLAR	ENSG00000003402	2	201116005	201176687	201980827	202041410	1	protein_coding	60682	network	1	yes	ok	
CGA	ENSG00000135346	6	87085495	87095150	87795216	87804824	-1	protein_coding	9655	baxter	1		ok	
CHD7	ENSG00000171316	8	60678715	60868031	61591337	61779465	1	protein_coding	189316	baxter	1		ok	
CHD8	ENSG00000100888	14	21385194	21456126	21853353	21924285	-1	protein_coding	70932	bajpai	1		ok	
CHEK1	ENSG00000149554	11	125625163	125676255	125495036	125546150	1	protein_coding	51092	baxter	1		ok	
CHRNA9	ENSG00000174343	4	40335302	40355303	40337346	40357234	1	protein_coding	20001	darcy	1		ok	
CHUK	ENSG00000213341	10	100188299	100229611	101948055	101989376	-1	protein_coding	41312	network	1	yes	ok	
CIB2	ENSG00000136425	15	78102300	78131565	78396948	78423886	-1	protein_coding	29265	baxter	1		ok	
CISD2	ENSG00000145354	4	102868738	102903259	103790135	103810399	1	protein_coding	34521	baxter	1		ok	
CITED1	ENSG00000125931	X	72301638	72309652	71521488	71527037	-1	protein_coding	8014	baxter	1		ok	
CLCN7	ENSG00000103249	16	1444934	1475104	1494935	1525581	-1	protein_coding	30170	baxter	1		ok	
CLN3	ENSG00000188603	16	28474111	28495575	28477974	28503333	-1	protein_coding	21464	bajpai	1		ok	
CLNK	ENSG00000109684	4	10486395	10734866	10488019	10686489	-1	protein_coding	248471	darcy	1		ok	
CMTR2	ENSG00000180917	16	71280073	71289715	71315292	71323618	-1	protein_coding	9642	bajpai	1		ok	
COL17A1	ENSG00000065618	10	104030753	104086410	105791044	105845760	-1	protein_coding	55657	baxter	1		ok	
COL6A2	ENSG00000142173	21	46096722	46132851	47518011	47552763	1	protein_coding	36129	baxter	1		ok	
COLEC11	ENSG00000118004	2	3592791	3646144	3642426	3692048	1	protein_coding	53353	baxter	1		ok	
COMMD10	ENSG00000145781	5	116084975	116412762	115420688	115748459	1	protein_coding	327787	bajpai	1		ok	
COMMD2	ENSG00000114744	3	149733246	149752495	149456257	149470286	-1	protein_coding	19249	bajpai	1		ok	
COMMD3	ENSG00000148444	10	22315980	22320430	22604903	22609235	1	protein_coding	4450	bajpai	1		ok	
COMMD3-BMI1	ENSG00000269897	10	22316388	22329542	22605317	22618471	1	protein_coding	13154	bajpai	1		ok	
COMMD4	ENSG00000140365	15	75336000	75343224	75628232	75634268	1	protein_coding	7224	bajpai	1		ok	
COMMD5	ENSG00000170619	8	144837760	144854229	146066427	146079121	-1	protein_coding	16469	bajpai	1		ok	
COMMD8	ENSG00000169019	4	47441586	47463730	47452885	47465736	-1	protein_coding	22144	bajpai	1		ok	
COP1	ENSG00000143207	1	175943861	176207523			-1	protein_coding	263662	baxter	1		hg38_only	not on a primary assembly / symbol unresolved
COPA	ENSG00000122218	1	160288580	160343566	160259063	160313190	-1	protein_coding	54986	baxter	1		ok	
COPB1	ENSG00000129083	11	14443357	14500027	14464986	14521573	-1	protein_coding	56670	baxter	1		ok	
COPB2	ENSG00000184432	3	139353942	139389736	139074442	139108574	-1	protein_coding	35794	baxter	1		ok	
CORIN	ENSG00000145244	4	47593999	47838151	47596015	47840123	-1	protein_coding	244152	baxter	1		ok	
CORO1A	ENSG00000102879	16	30182798	30189085	30194148	30200397	1	protein_coding	6287	baxter	1		ok	
CPLX4	ENSG00000166569	18	59275156	59318655	56942388	56985881	-1	protein_coding	43499	baxter	1		ok	
CPSF1	ENSG00000071894	8	144393229	144409864	145618444	145634753	-1	protein_coding	16635	baxter	1		ok	
CPVL	ENSG00000106066	7	28994636	29195451	29034847	29235067	-1	protein_coding	200815	darcy	1		ok	
CRB2	ENSG00000148204	9	123356170	123380324	126118449	126142603	1	protein_coding	24154	baxter	1		ok	
CREB1	ENSG00000118260	2	207529697	207605988	208394461	208468155	1	protein_coding	76291	network	1	yes	ok	
CREB3L2	ENSG00000182158	7	137874979	138002119	137559725	137686813	-1	protein_coding	127140	baxter	1		ok	
CREBBP	ENSG00000005339	16	3725054	3880734	3775055	3930727	-1	protein_coding	155680	bajpai	1		ok	
CRH	ENSG00000147571	8	66175907	66178632	67088620	67090960	-1	protein_coding	2725	baxter	1		ok	
CSF1R	ENSG00000182578	5	150053291	150113372	149432854	149492935	-1	protein_coding	60081	baxter	1		ok	
CSF2	ENSG00000164400	5	132073784	132076170	131409483	131411859	1	protein_coding	2386	network	1	yes	ok	
CSF2RA	ENSG00000292357	Y	1268779	1325373	1387693	1429274	1	protein_coding	56594	network	1	yes	ok	
CSK	ENSG00000103653	15	74782023	74804177	75074398	75095539	1	protein_coding	22154	bajpai	1		ok	
CSNK1A1	ENSG00000113712	5	149492982	149551577	148871760	148931007	-1	protein_coding	58595	baxter	1		ok	
CTBP2	ENSG00000175029	10	124981657	125163006	126676421	126849739	-1	protein_coding	181349	baxter	1		ok	
CTC1	ENSG00000178971	17	8224815	8248075	8130191	8151362	-1	protein_coding	23260	baxter;darcy	2		ok	
CTDSPL2	ENSG00000137770	15	44427187	44529038	44719432	44821236	1	protein_coding	101851	bajpai	1		ok	
CTLA4	ENSG00000163599	2	203853888	203873965	204732509	204738683	1	protein_coding	20077	baxter;darcy	2		ok	
CTNNB1	ENSG00000168036	3	41194741	41260096	41236328	41301587	1	protein_coding	65355	baxter;network	2	yes	ok	
CTNS	ENSG00000040531	17	3636446	3663103	3539762	3564836	1	protein_coding	26657	baxter;darcy	2		ok	
CTR9	ENSG00000198730	11	10750962	10801625	10772534	10801290	1	protein_coding	50663	baxter	1		ok	
CTSD	ENSG00000117984	11	1752752	1764573	1773982	1785222	-1	protein_coding	11821	baxter	1		ok	
CUL5	ENSG00000166266	11	108008821	108107781	107879459	107978503	1	protein_coding	98960	bajpai	1		ok	
CXCL12	ENSG00000107562	10	44370159	44386493	44793038	44881941	-1	protein_coding	16334	baxter	1		ok	
CXCL8	ENSG00000169429	4	73740519	73747379			1	protein_coding	6860	network	1	yes	hg38_only	not on a primary assembly / symbol unresolved
CYCS	ENSG00000172115	7	25080179	25125367	25159710	25164980	-1	protein_coding	45188	network	1	yes	ok	
CYP11A1	ENSG00000140459	15	74337746	74367884	74630100	74660081	-1	protein_coding	30138	baxter;darcy	2		ok	
DCT	ENSG00000080166	13	94436811	94479682	95089558	95131936	-1	protein_coding	42871	bajpai;baxter;network	3	yes	ok	
DCTN1	ENSG00000204843	2	74361154	74392087	74588281	74619214	-1	protein_coding	30933	baxter	1		ok	
DCTN2	ENSG00000175203	12	57529567	57547256	57923885	57941114	-1	protein_coding	17689	baxter	1		ok	
DDB2	ENSG00000134574	11	47214435	47240555	47236493	47260767	1	protein_coding	26120	baxter;darcy	2		ok	
DDX3X	ENSG00000215301	X	41333348	41364472	41192651	41223725	1	protein_coding	31124	baxter;darcy	2		ok	
DDX6	ENSG00000110367	11	118747763	118791226	118620034	118661858	-1	protein_coding	43463	darcy	1		ok	
DEF8	ENSG00000140995	16	89948014	89968079	90014333	90034468	1	protein_coding	20065	darcy	1		ok	
DEGS1	ENSG00000143753	1	224175756	224202394	224363458	224381143	1	protein_coding	26638	bajpai	1		ok	
DEK	ENSG00000124795	6	18223860	18265997	18224099	18265054	-1	protein_coding	42137	bajpai	1		ok	
DFFA	ENSG00000160049	1	10456522	10472582	10516579	10532583	-1	protein_coding	16060	network	1	yes	ok	
DFFB	ENSG00000169598	1	3857242	3885491	3773845	3801993	1	protein_coding	28249	network	1	yes	ok	
DGKD	ENSG00000077044	2	233354475	233472104	234263153	234380750	1	protein_coding	117629	bajpai	1		ok	
DHRSX	ENSG00000292338	Y	2217548	2502805	2137557	2420846	-1	protein_coding	285257	baxter	1		ok	
DHX29	ENSG00000067248	5	55256055	55307722	54552073	54603550	-1	protein_coding	51667	bajpai	1		ok	
DIO2	ENSG00000211448	14	80197526	80387757	80663873	80854100	-1	protein_coding	190231	baxter	1		ok	
DISC1	ENSG00000162946	1	231626663	232041272	231762561	232177018	1	protein_coding	414609	baxter	1		ok	
DKC1	ENSG00000130826	X	154762741	154777697	153991031	154005964	1	protein_coding	14956	baxter;darcy	2		ok	
DLAT	ENSG00000150768	11	112025033	112064404	111895538	111935114	1	protein_coding	39371	baxter	1		ok	
DMXL2	ENSG00000104093	15	51447711	51622981	51739908	51915030	-1	protein_coding	175270	baxter	1		ok	
DNAJC12	ENSG00000108176	10	67796665	67850195	69556427	69597924	-1	protein_coding	53530	darcy	1		ok	
DNAJC13	ENSG00000138246	3	132417488	132539032	132136370	132257876	1	protein_coding	121544	bajpai	1		ok	
DNM2	ENSG00000079805	19	10717967	10834209	10828755	10944164	1	protein_coding	116242	baxter	1		ok	
DOCK7	ENSG00000116641	1	62454298	62688549	62920399	63153969	-1	protein_coding	234251	baxter	1		ok	
DRD2	ENSG00000149295	11	113409021	113476402	113280318	113346413	-1	protein_coding	67381	baxter	1		ok	
DSCR3	ENSG00000157538	21			38595721	38640262	-1	protein_coding		bajpai	1		hg19_only	not on a primary assembly / symbol unresolved
DSG4	ENSG00000175065	18	31376777	31414979	28956740	28994875	1	protein_coding	38202	baxter	1		ok	
DSTYK	ENSG00000133059	1	205142505	205211741	205111632	205180727	-1	protein_coding	69236	baxter;darcy	2		ok	
DTNBP1	ENSG00000047579	6	15520284	15663066	15523032	15663289	-1	protein_coding	142782	bajpai;baxter;darcy	3		ok	
DUSP1	ENSG00000120129	5	172766992	172771198	172195093	172198198	-1	protein_coding	4206	network	1	yes	ok	
DYNC1H1	ENSG00000197102	14	101964519	102056443	102430865	102517129	1	protein_coding	91924	baxter	1		ok	
DYRK1A	ENSG00000157540	21	37365573	37526358	38738092	38889753	1	protein_coding	160785	bajpai	1		ok	
